Fecha Local,Fecha UTC,Latitud,Longitud,Profundidad [Km],Magnitud,Referencia Geográfica
2022-02-08 02:22:13,2022-02-08 05:22:13,-25.723,-70.962,45.9,4.6 Mw, 59 km al SO de Taltal
2022-02-07 11:54:45,2022-02-07 14:54:45,-25.181,-70.796,32.6,2.9 Ml, 40 km al NO de Taltal
2022-02-07 08:04:48,2022-02-07 11:04:48,-23.955,-67.267,247.1,2.8 Ml, 75 km al SE de Socaire
2022-02-07 07:55:14,2022-02-07 10:55:14,-22.418,-69.086,99.9,2.5 Ml, 17 km al O de Calama
2022-02-07 04:54:01,2022-02-07 07:54:01,-21.872,-68.655,125.1,2.5 Ml, 72 km al NE de Calama
2022-02-06 23:54:39,2022-02-07 02:54:39,-22.198,-68.683,106.2,2.5 Ml, 40 km al NE de Calama
2022-02-06 22:20:04,2022-02-07 01:20:04,-22.159,-68.696,108.4,2.6 Ml, 42 km al NE de Calama
2022-02-08 02:22:13,2022-02-08 05:22:13,-25.726,-70.969,46.1,4.7 Ml, 60 km al SO de Taltal
2022-02-08 02:22:12,2022-02-08 05:22:12,-25.772,-71.362,37.0,4.7 Ml, 98 km al NO de Chañaral.
2022-02-06 20:46:31,2022-02-06 23:46:31,-22.166,-68.703,114.4,5.3 Mw, 41 km al NE de Calama
2022-02-06 06:13:26,2022-02-06 09:13:26,-21.93,-68.581,134.7,2.7 Ml, 70 km al NE de Calama
2022-02-06 06:03:25,2022-02-06 09:03:25,-24.09,-67.485,225.1,3.2 Ml, 69 km al SE de Socaire
2022-02-06 02:36:07,2022-02-06 05:36:07,-23.966,-67.231,223.4,2.8 Ml, 79 km al SE de Socaire
2022-02-06 02:08:12,2022-02-06 05:08:12,-23.053,-69.069,98.0,3.3 Ml, 31 km al SE de Sierra Gorda.
2022-02-05 23:30:51,2022-02-06 02:30:51,-23.144,-67.12,240.9,2.5 Ml, 93 km al NE de Socaire
2022-02-05 21:38:45,2022-02-06 00:38:45,-23.156,-68.512,113.3,3.0 Ml, 41 km al SO de San Pedro de Atacama
2022-02-05 18:53:03,2022-02-05 21:53:03,-23.887,-67.14,232.0,3.3 Ml, 83 km al E de Socaire
2022-02-05 18:50:54,2022-02-05 21:50:54,-22.136,-69.756,64.2,2.5 Ml, 25 km al NO de María Elena
2022-02-05 16:57:35,2022-02-05 19:57:35,-22.769,-68.513,10.4,3.6 Ml, 36 km al NO de San Pedro de Atacama
2022-02-05 13:28:24,2022-02-05 16:28:24,-23.93,-67.294,250.6,3.6 Ml, 71 km al SE de Socaire
2022-02-05 06:24:52,2022-02-05 09:24:52,-23.989,-67.321,237.6,3.0 Ml, 73 km al SE de Socaire
2022-02-05 16:57:32,2022-02-05 19:57:32,-23.087,-68.185,123.0,3.7 Ml, 19 km al S de San Pedro de Atacama
2022-02-05 05:07:00,2022-02-05 08:07:00,-23.333,-68.111,128.2,2.5 Ml, 36 km al NO de Socaire
2022-02-05 04:13:15,2022-02-05 07:13:15,-24.238,-67.509,213.0,2.9 Ml, 82 km al SE de Socaire
2022-02-04 20:06:50,2022-02-04 23:06:50,-22.242,-68.698,110.0,3.0 Ml, 35 km al NE de Calama
2022-02-04 17:07:44,2022-02-04 20:07:44,-22.429,-68.652,116.2,3.2 Ml, 29 km al E de Calama
2022-02-04 11:16:35,2022-02-04 14:16:35,-23.813,-67.307,258.7,3.4 Ml, 64 km al E de Socaire
2022-02-04 09:13:37,2022-02-04 12:13:37,-24.013,-67.398,218.7,3.7 Ml, 69 km al SE de Socaire
2022-02-04 05:09:39,2022-02-04 08:09:39,-22.753,-70.76,33.0,2.5 Ml, 50 km al NO de Mejillones
2022-02-04 02:38:52,2022-02-04 05:38:52,-23.811,-67.235,220.0,2.6 Ml, 71 km al E de Socaire
2022-02-03 13:33:03,2022-02-03 16:33:03,-22.434,-68.731,115.4,4.0 Ml, 21 km al E de Calama
2022-02-03 09:55:40,2022-02-03 12:55:40,-22.869,-69.131,104.9,2.8 Ml, 19 km al E de Sierra Gorda.
2022-02-02 22:26:37,2022-02-03 01:26:37,-21.92,-68.764,122.4,3.3 Ml, 64 km al N de Calama
2022-02-02 04:11:31,2022-02-02 07:11:31,-23.141,-68.862,98.0,3.0 Ml, 54 km al SE de Sierra Gorda.
2022-02-01 23:15:13,2022-02-02 02:15:13,-23.43,-68.271,134.1,3.9 Ml, 43 km al NO de Socaire
2022-01-31 17:28:11,2022-01-31 20:28:11,-22.557,-68.942,101.6,2.5 Ml, 10 km al S de Calama
2022-01-31 15:45:04,2022-01-31 18:45:04,-23.98,-67.147,234.6,3.0 Ml, 87 km al SE de Socaire
2022-01-31 13:42:40,2022-01-31 16:42:40,-23.972,-67.142,196.6,3.0 Ml, 87 km al SE de Socaire
2022-01-31 13:06:43,2022-01-31 16:06:43,-21.822,-68.611,121.4,3.0 Ml, 76 km al SO de Ollagüe
2022-01-31 09:39:19,2022-01-31 12:39:19,-24.046,-67.588,197.1,2.8 Ml, 59 km al SE de Socaire
2022-01-31 09:26:29,2022-01-31 12:26:29,-24.194,-67.485,195.8,2.7 Ml, 79 km al SE de Socaire
2022-01-31 06:38:30,2022-01-31 09:38:30,-25.349,-69.94,99.6,3.6 Ml, 55 km al E de Taltal
2022-01-30 22:38:23,2022-01-31 01:38:23,-22.282,-70.369,58.8,2.9 Ml, 27 km al SO de Tocopilla
2022-01-30 20:23:35,2022-01-30 23:23:35,-22.277,-68.702,126.6,2.9 Ml, 32 km al NE de Calama
2022-01-30 16:34:40,2022-01-30 19:34:40,-22.512,-70.337,14.8,2.5 Ml, 49 km al S de Tocopilla
